NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
4142;2022;MEDIO SUPERIOR;H;2;3;28/04/2005;17;MEXICANA;HIDALGO;CUAUTEPEC DE HINOJOSA, HGO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
4143;2022;MEDIO SUPERIOR;M;3;13;31/12/2005;16;MEXICANA;VERACRUZ;HUATUSCO, VER.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
4144;2022;LICENCIATURA;H;6;1;15/06/1998;24;MEXICANA;CDMX;TLALPAN, D.F.;LICENCIATURA;ESPECIAL;LICENCIATURA;EXTERNO;DEIS EN AGROECOLOGÍA;INGENIERÍA EN AGROECOLOGÍA;CHAPINGO;MÉXICO;22/09/2021;;;;;;;;;
4145;2022;LICENCIATURA;H;4;4;18/08/2003;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;21/08/2019;;;MÉXICO;;NI;;;;
4146;2022;LICENCIATURA;H;5;1;16/11/2002;19;MEXICANA;ZACATECAS;SOMBRERETE, ZAC.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SOCIOLOGÍA RURAL;INGENIERO AGRÓNOMO ESPECIALISTA EN SOCIOLOGÍA RURAL;CHAPINGO;MÉXICO;2/08/2017;;;;;;;;;
4147;2022;LICENCIATURA;H;7;2;24/12/1995;26;MEXICANA;MICHOACÁN;ZITACUARO, MICH.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
4148;2022;LICENCIATURA;M;5;3;18/01/2002;20;MEXICANA;PUEBLA;TEHUACAN, PUE.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;30/07/2018;;;;;;;;;
4149;2022;LICENCIATURA;M;4;4;19/08/2003;19;MEXICANA;PUEBLA;TEHUACAN, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;4/09/2019;;;MÉXICO;;NI;;;;
4150;2022;LICENCIATURA;M;4;2;13/04/2003;19;MEXICANA;PUEBLA;TEHUACAN, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;9/09/2019;;;MÉXICO;;NI;;;;
4151;2022;MEDIO SUPERIOR;H;2;18;3/05/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
