NÚM.;AÑO;NIVEL;GÉNERO;GRADO;GRUPO;FECHA NAC;EDAD;NACIONALIDAD;EDO. ORIGEN;MUNICIPIO;NIVEL DE PROCEDENCIA;INGRESO;NIVEL ACTUAL;CATEGORÍA;UNIDAD ACADÉMICA;PROGRAMA EDUCATIVO;SEDE;EDO. SEDE;FECHA DE INGRESO;EDO. CIVIL;PAIS EST;LUGAR BACHILLERATO;INSTITUCIÓN;NUEVO INGRESO;LENGUA;AFRODESCENDIENTE;DISCAPACIDAD;TIPO DISCAPACIDAD
9623;2022;LICENCIATURA;H;4;3;15/02/2003;19;MEXICANA;PUEBLA;CHIGNAHUAPAN, PUE.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;1/08/2018;;;MÉXICO;;RI;;;;
9624;2022;LICENCIATURA;M;4;7;3/04/2002;20;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;1/08/2018;;;MÉXICO;;RI;;;;
9625;2022;LICENCIATURA;M;4;1;20/08/2004;18;MEXICANA;MÉXICO;CHICONCUAC, MEX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;21/08/2019;;;MÉXICO;;NI;;;;
9626;2022;MEDIO SUPERIOR;M;2;15;23/03/2006;16;MEXICANA;MÉXICO;CHICONCUAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
9627;2022;LICENCIATURA;H;5;2;15/06/1997;25;MEXICANA;PUEBLA;CHIGNAHUAPAN, PUE.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
9628;2022;MEDIO SUPERIOR;H;8;12;30/08/2004;18;MEXICANA;TAMAULIPAS;GONZALEZ, TAMPS.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUZA;DURANGO;5/08/2022;;;;;NI;;;;
9629;2022;LICENCIATURA;H;4;1;31/01/2004;18;MEXICANA;TLAXCALA;CALPULALPAN, TLAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;20/08/2019;;;MÉXICO;;NI;;;;
9630;2022;MEDIO SUPERIOR;H;3;14;21/05/2005;17;MEXICANA;QUERÉTARO;TOLIMAN, QRO.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;OTOMÍ;;;
9631;2022;MEDIO SUPERIOR;H;8;2;1/02/2004;18;MEXICANA;MORELOS;AXOCHIAPAN, MOR.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;3/08/2022;;;;;NI;;;;
9632;2022;MEDIO SUPERIOR;H;1;14;21/10/2005;16;MEXICANA;PUEBLA;ZARAGOZA, PUE.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;RI;;;;
9633;2022;LICENCIATURA;H;5;12;4/03/2003;19;MEXICANA;MÉXICO;CHIAUTLA, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;1/08/2018;;;;;;;;;
9634;2022;LICENCIATURA;M;5;5;23/10/2001;20;MEXICANA;SAN LUIS POTOSÍ;SANTA MARIA DEL RIO, S.L.P.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/09/2020;;;;;;;;;
9635;2022;MEDIO SUPERIOR;H;3;1;23/06/2005;17;MEXICANA;PUEBLA;CAXHUACAN, PUE.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;TOTONACO;;;
9636;2022;LICENCIATURA;M;6;3;2/05/2002;20;MEXICANA;GUANAJUATO;TARIMORO, GTO.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2017;;;;;;;;;
9637;2022;LICENCIATURA;H;7;2;22/05/1999;23;MEXICANA;GUANAJUATO;TARIMORO, GTO.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
9638;2022;LICENCIATURA;H;5;3;24/11/2001;20;MEXICANA;VERACRUZ;HUATUSCO, VER.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;SÍ;Discapacidad física/motriz
9639;2022;MEDIO SUPERIOR;H;2;23;5/04/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
9640;2022;MEDIO SUPERIOR;H;1;25;30/03/2007;15;MEXICANA;MÉXICO;ATENCO, MEX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
9641;2022;MEDIO SUPERIOR;M;3;4;21/08/2004;18;MEXICANA;VERACRUZ;PLAYA VICENTE, VER.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;20/08/2019;;;;;;ZAPOTECO;;;
9642;2022;MEDIO SUPERIOR;M;3;11;13/01/2005;17;MEXICANA;OAXACA;SAN JUAN BAUTISTA ATATLAHUCA, OAX;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/04/2020;;;;;;CHOCHOLTECO;;;
9643;2022;MEDIO SUPERIOR;H;3;6;2/05/1998;24;MEXICANA;MÉXICO;TEPETLAOXTOC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;NÁHUATL;;;
9644;2022;MEDIO SUPERIOR;M;1;20;4/05/2006;16;MEXICANA;CHIAPAS;TAPACHULA, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
9645;2022;MEDIO SUPERIOR;H;3;17;3/03/2005;17;MEXICANA;CHIAPAS;TAPACHULA, CHIS.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
9646;2022;MEDIO SUPERIOR;H;8;4;12/01/1998;24;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CHAPINGO;MÉXICO;3/08/2022;;;;;NI;;;;
9647;2022;LICENCIATURA;H;7;1;13/07/1999;23;MEXICANA;OAXACA;MAGDALENA MIXTEPEC, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO CENTRO OCCIDENTE, MICHOACÁN;INGENIERÍA EN AGRICULTURA SOSTENIBLE;CRUCO;MICHOACÁN;10/08/2018;;;;;;;;;
9648;2022;LICENCIATURA;M;7;3;16/11/2001;20;MEXICANA;MÉXICO;TEPETLAOXTOC, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;CHAPINGO;MÉXICO;21/07/2016;;;;;;;;;
9649;2022;LICENCIATURA;M;5;2;18/08/2002;20;MEXICANA;CHIAPAS;COPAINALA, CHIS.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;12/08/2020;;;;;;ZOQUE;;;
9650;2022;LICENCIATURA;H;6;1;8/09/2000;22;MEXICANA;CHIAPAS;COPAINALA, CHIS.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO SUR, OAXACA;INGENIERÍA EN AGRICULTURA SOSTENIBLE;CRUS;OAXACA;26/08/2019;;;;;;;;;
9651;2022;MEDIO SUPERIOR;H;8;15;6/08/2004;18;MEXICANA;CHIAPAS;COPAINALA, CHIS.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;URUSSE;TABASCO;5/08/2022;;;;;NI;;;;
9652;2022;MEDIO SUPERIOR;M;8;18;21/07/2003;19;MEXICANA;OAXACA;SAN MATEO DEL MAR, OAX.;PREPARATORIA;PROPEDÉUTICO;PROPEDÉUTICO;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PROPEDÉUTICO;CRUS;OAXACA;7/08/2022;;;;;NI;;SÍ;;
9653;2022;MEDIO SUPERIOR;H;3;16;20/05/2004;18;MEXICANA;OAXACA;SAN MIGUEL TULANCINGO, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;19/08/2019;;;;;;;;;
9654;2022;LICENCIATURA;H;7;1;12/10/1996;25;MEXICANA;CHIAPAS;INDEPENDENCIA, LA, CHIS.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;CENTRO REGIONAL UNIVERSITARIO DE OCCIDENTE, JALISCO;INGENIERÍA EN AGRICULTURA SOSTENIBLE;CRUOC;JALISCO;7/08/2018;;;;;;;;;
9655;2022;MEDIO SUPERIOR;M;1;14;9/03/2007;15;MEXICANA;OAXACA;SAN ANTONIO MONTEVERDE, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;SÍ;;
9656;2022;MEDIO SUPERIOR;H;1;3;16/04/2007;15;MEXICANA;CHIAPAS;INDEPENDENCIA, LA, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;;;
9657;2022;LICENCIATURA;M;4;3;10/07/2004;18;MEXICANA;OAXACA;SAN ANTONIO ACUTLA, OAX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;19/08/2019;;;MÉXICO;;NI;CHOCHOLTECO;;;
9658;2022;MEDIO SUPERIOR;H;1;19;15/12/2007;14;MEXICANA;OAXACA;SANTA MARIA ZOQUITLAN, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
9659;2022;MEDIO SUPERIOR;H;3;12;4/08/2004;18;MEXICANA;OAXACA;SANTIAGO LALOPA, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;19/08/2019;;;;;;ZAPOTECO;;;
9660;2022;MEDIO SUPERIOR;M;3;1;2/02/2005;17;MEXICANA;OAXACA;SANTIAGO TILLO, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/07/2020;;;;;;MIXTECO;;;
9661;2022;LICENCIATURA;H;5;4;24/01/2002;20;MEXICANA;OAXACA;NATIVIDAD, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
9662;2022;LICENCIATURA;H;6;1;23/11/2000;21;MEXICANA;OAXACA;IXPANANTEPEC NIEVES, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERO MECÁNICO AGRÍCOLA;CHAPINGO;MÉXICO;22/08/2019;;;;;;;;;
9663;2022;LICENCIATURA;M;5;5;1/05/2002;20;MEXICANA;OAXACA;SAN PEDRO OCOTEPEC, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;12/07/2020;;;;;;;;;
9664;2022;MEDIO SUPERIOR;M;2;6;1/10/2006;15;MEXICANA;OAXACA;SAN ANTONIO MONTEVERDE, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;SÍ;;
9665;2022;MEDIO SUPERIOR;M;2;10;27/09/2001;21;MEXICANA;OAXACA;SANTA CRUZ XITLA, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;;;;
9666;2022;LICENCIATURA;H;7;1;7/01/2000;22;MEXICANA;CHIAPAS;MONTECRISTO DE GUERRERO, CHIS.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;6/08/2018;;;;;;;;;
9667;2022;LICENCIATURA;M;5;2;9/04/2002;20;MEXICANA;OAXACA;TLACOLULA DE MATAMOROS, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN IRRIGACIÓN;INGENIERO EN IRRIGACIÓN;CHAPINGO;MÉXICO;12/07/2020;;;;;;ZAPOTECO;;;
9668;2022;LICENCIATURA;M;7;1;7/10/2000;21;MEXICANA;OAXACA;SAN PEDRO OCOTEPEC, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN PARASITOLOGÍA AGRÍCOLA;INGENIERO AGRÓNOMO ESPECIALISTA EN PARASITOLOGÍA AGRÍCOLA;CHAPINGO;MÉXICO;3/08/2018;;;;;;;;;
9669;2022;MEDIO SUPERIOR;M;3;8;28/05/2005;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
9670;2022;MEDIO SUPERIOR;M;1;12;19/01/2007;15;MEXICANA;PUEBLA;ZACAPOAXTLA, PUE.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;2/08/2022;;;;;NI;;;;
9671;2022;MEDIO SUPERIOR;H;1;12;24/09/2007;15;MEXICANA;OAXACA;SAN MIGUEL TLACOTEPEC, OAX.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;1/08/2022;;;;;NI;;SÍ;;
9672;2022;LICENCIATURA;H;5;12;30/10/2003;18;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;1/08/2018;;;;;;;;;
9673;2022;MEDIO SUPERIOR;M;1;25;3/10/2006;15;MEXICANA;CHIAPAS;VILLA CORZO, CHIS.;SECUNDARIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;RI;;;;
9674;2022;LICENCIATURA;M;5;3;2/02/2002;20;MEXICANA;ZACATECAS;TABASCO, ZAC.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN SUELOS;INGENIERÍA EN RECURSOS NATURALES RENOVABLES;CHAPINGO;MÉXICO;31/07/2018;;;;;;;;;
9675;2022;MEDIO SUPERIOR;H;3;9;2/02/2005;17;MEXICANA;OAXACA;SANTIAGO DEL RIO, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
9676;2022;MEDIO SUPERIOR;H;3;1;12/08/2005;17;MEXICANA;MÉXICO;CHICONCUAC, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/08/2020;;;;;;MAYA;;;
9677;2022;LICENCIATURA;M;7;1;20/04/2000;22;MEXICANA;OAXACA;OAXACA DE JUAREZ, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;CENTRO REGIONAL UNIVERSITARIO DE OCCIDENTE, JALISCO;INGENIERÍA EN AGRICULTURA SOSTENIBLE;CRUOC;JALISCO;10/08/2018;;;;;;AKATEKO;;;
9678;2022;LICENCIATURA;M;7;7;27/09/2001;21;MEXICANA;MÉXICO;ZUMPAHUACAN, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;23/07/2016;;;;;;;;;
9679;2022;LICENCIATURA;H;7;6;1/01/1999;23;MEXICANA;OAXACA;SAN SEBASTIAN NICANANDUTA, OAX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA MECÁNICA AGRÍCOLA;INGENIERÍA MECATRÓNICA AGRÍCOLA;CHAPINGO;MÉXICO;4/08/2017;;;;;;;;;
9680;2022;MEDIO SUPERIOR;M;3;6;9/04/2004;18;MEXICANA;OAXACA;SANTO DOMINGO TEHUANTEPEC, OAX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/09/2020;;;;;;MIXE;;;
9681;2022;LICENCIATURA;H;5;1;8/10/2001;20;MEXICANA;CAMPECHE;KALAKMUL, CAMP.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERO FORESTAL;CHAPINGO;MÉXICO;12/08/2020;;;;;;MAYA;;;
9682;2022;LICENCIATURA;M;4;2;5/01/2004;18;MEXICANA;MORELOS;AXOCHIAPAN, MOR.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;20/08/2019;;;MÉXICO;;NI;NÁHUATL;;;
9683;2022;LICENCIATURA;M;5;5;21/07/2001;21;MEXICANA;MORELOS;AXOCHIAPAN, MOR.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;31/07/2017;;;;;;;;;
9684;2022;LICENCIATURA;H;6;1;4/10/1995;26;MEXICANA;CDMX;CUAJIMALPA DE MORELOS, D.F.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN SOCIOLOGÍA RURAL;INGENIERO AGRÓNOMO ESPECIALISTA EN SOCIOLOGÍA RURAL;CHAPINGO;MÉXICO;2/08/2018;;;;;;;;;
9685;2022;MEDIO SUPERIOR;M;3;1;7/03/2004;18;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;12/06/2020;;;;;;;;;
9686;2022;LICENCIATURA;H;5;9;5/01/2003;19;MEXICANA;SONORA;NAVOJOA, SON.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN COMERCIO INTERNACIONAL;CHAPINGO;MÉXICO;30/07/2018;;;;;;;;;
9687;2022;MEDIO SUPERIOR;M;2;30;21/03/2006;16;MEXICANA;SONORA;NAVOJOA, SON.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;BECADO INTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;URUZA;DURANGO;9/06/2021;;;;;;;;;
9688;2022;LICENCIATURA;H;7;2;19/01/2001;21;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN INGENIERÍA AGROINDUSTRIAL;INGENIERÍA AGROINDUSTRIAL;CHAPINGO;MÉXICO;21/07/2016;;;;;;;;;
9689;2022;MEDIO SUPERIOR;M;2;22;6/09/2006;16;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;MEDIO SUPERIOR;EXTERNO;DEIS EN PREPARATORIA AGRÍCOLA;PREPARATORIA AGRÍCOLA;CHAPINGO;MÉXICO;9/06/2021;;;;;;;;;
9690;2022;LICENCIATURA;M;6;3;5/03/2001;21;MEXICANA;MÉXICO;SAN FELIPE DEL PROGRESO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DIVISIÓN DE CIENCIAS ECONÓMICO ADMINISTRATIVAS;LICENCIATURA EN ECONOMÍA;CHAPINGO;MÉXICO;23/07/2016;;;;;;;;;
9691;2022;LICENCIATURA;M;7;7;9/10/1998;23;MEXICANA;BAJA CALIFORNIA NORTE;ENSENADA, B.C.N.;LICENCIATURA;PREPARATORIA;LICENCIATURA;BECADO INTERNO;DEIS EN FITOTECNIA;LICENCIATURA EN AGRONOMÍA EN HORTICULTURA PROTEGIDA;CHAPINGO;MÉXICO;30/07/2015;;;;;;MIXTECO;;;
9692;2022;LICENCIATURA;M;4;5;13/10/2004;17;MEXICANA;MÉXICO;TEXCOCO, MEX.;PREPARATORIA;PREPARATORIA;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;21/08/2019;;;MÉXICO;;NI;;;;
9693;2022;LICENCIATURA;H;4;2;19/02/2003;19;MEXICANA;JALISCO;CONCEPCION DE BUENOS AIRES, JAL.;PROPEDÉUTICO;PROPEDÉUTICO;LICENCIATURA;BECADO EXTERNO;DEIS EN FITOTECNIA;INGENIERÍA AGRONÓMICA ESPECIALISTA EN FITOTECNIA;CHAPINGO;MÉXICO;9/06/2021;;;JALISCO;;NI;;;;
9694;2022;LICENCIATURA;H;5;1;4/10/2002;19;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PROPEDÉUTICO;LICENCIATURA;EXTERNO;DEIS EN ZOOTECNIA;INGENIERO AGRÓNOMO ESPECIALISTA EN ZOOTECNIA;CHAPINGO;MÉXICO;12/08/2020;;;;;;NÁHUATL;;SÍ;Discapacidad física/motriz
9695;2022;LICENCIATURA;M;7;7;27/05/2001;21;MEXICANA;MÉXICO;TEXCOCO, MEX.;LICENCIATURA;PREPARATORIA;LICENCIATURA;EXTERNO;DIVISIÓN DE CIENCIAS FORESTALES;INGENIERÍA EN RESTAURACIÓN FORESTAL;CHAPINGO;MÉXICO;21/07/2016;;;;;;;;;
